               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.026341,            0.025171,           0.0018191,             0.81589,             0.84158,             0.87944,              0.6777,            0.022673,             0.01466,           0.0011822,           0.0095248,           0.0095248,           0.0095248
                  50,            0.026161,            0.025731,           0.0019051,             0.84019,              0.8499,             0.88704,             0.68467,            0.022706,            0.014743,          0.00094986,           0.0095149,           0.0095149,           0.0095149
                  51,            0.025572,            0.025818,           0.0018882,             0.82985,              0.8277,             0.87942,             0.68243,            0.022988,              0.0148,           0.0011048,            0.009505,            0.009505,            0.009505
                  52,            0.025914,            0.024846,           0.0018561,             0.83062,             0.84045,             0.88227,             0.67953,            0.022282,            0.014862,           0.0014502,           0.0094951,           0.0094951,           0.0094951
                  53,            0.025929,            0.025219,           0.0019107,             0.78673,             0.82637,             0.87433,             0.66664,            0.022511,            0.014706,           0.0012855,           0.0094852,           0.0094852,           0.0094852
                  54,            0.025617,            0.025471,           0.0017644,             0.80913,             0.85477,             0.88697,             0.69464,            0.021855,            0.014515,           0.0010163,           0.0094753,           0.0094753,           0.0094753
                  55,            0.025511,            0.024406,           0.0017732,             0.81813,             0.85009,             0.87861,             0.69004,            0.021696,            0.014301,             0.00104,           0.0094654,           0.0094654,           0.0094654
                  56,            0.026127,            0.025222,           0.0023711,               0.817,             0.82131,             0.87166,             0.67544,            0.023096,            0.014914,           0.0010983,           0.0094555,           0.0094555,           0.0094555
                  57,            0.025909,            0.025174,           0.0018733,             0.80976,             0.85042,             0.88282,             0.69233,            0.021987,            0.014383,           0.0010525,           0.0094456,           0.0094456,           0.0094456
                  58,            0.025763,            0.025637,           0.0016525,             0.83688,             0.84486,             0.89305,             0.69924,            0.021617,            0.014287,           0.0011007,           0.0094357,           0.0094357,           0.0094357
                  59,             0.02547,            0.024445,           0.0017403,             0.84101,             0.84656,             0.89328,             0.70627,            0.021746,            0.014457,           0.0008676,           0.0094258,           0.0094258,           0.0094258
                  60,            0.025544,            0.024576,            0.001659,             0.82756,              0.8457,             0.88095,             0.68559,            0.021967,            0.014284,          0.00083837,           0.0094159,           0.0094159,           0.0094159
                  61,            0.025554,            0.024703,           0.0016826,             0.84944,             0.85442,             0.89466,             0.70611,            0.021492,            0.014206,          0.00085509,            0.009406,            0.009406,            0.009406
                  62,            0.025531,            0.024246,           0.0018064,              0.8201,             0.85535,             0.88779,             0.69611,            0.021831,            0.014355,          0.00085341,           0.0093961,           0.0093961,           0.0093961
                  63,            0.025241,            0.024431,           0.0016509,             0.85072,             0.84243,             0.89045,             0.69892,            0.021395,            0.014435,           0.0009001,           0.0093862,           0.0093862,           0.0093862
                  64,            0.025086,            0.024163,           0.0016569,             0.85439,             0.83857,             0.89583,             0.70458,            0.021369,            0.014284,          0.00087023,           0.0093763,           0.0093763,           0.0093763
                  65,            0.025445,            0.024207,           0.0018814,             0.83059,             0.84954,             0.87041,             0.68223,            0.022469,             0.01443,          0.00086595,           0.0093664,           0.0093664,           0.0093664
                  66,              0.0249,            0.024586,           0.0017321,              0.8458,             0.85243,              0.8928,             0.70407,            0.021178,            0.014229,           0.0012381,           0.0093565,           0.0093565,           0.0093565
                  67,            0.024971,            0.023879,           0.0017834,             0.83956,             0.84963,             0.89229,             0.70004,            0.021612,            0.014195,          0.00098649,           0.0093466,           0.0093466,           0.0093466
                  68,            0.024846,            0.024079,            0.001631,             0.84973,             0.85836,              0.8928,             0.70555,            0.021983,            0.014507,          0.00096693,           0.0093367,           0.0093367,           0.0093367
                  69,            0.024722,            0.023986,           0.0016575,             0.83049,             0.85286,             0.88906,             0.69769,            0.021579,            0.014053,          0.00097217,           0.0093268,           0.0093268,           0.0093268
                  70,            0.024585,            0.024206,           0.0017063,             0.84163,             0.84752,             0.89074,              0.7056,            0.021679,             0.01418,          0.00093251,           0.0093169,           0.0093169,           0.0093169
                  71,            0.024447,            0.024226,            0.001734,             0.84154,             0.85623,             0.88563,             0.70329,            0.021517,            0.014263,          0.00083462,            0.009307,            0.009307,            0.009307
                  72,            0.024666,            0.024726,           0.0015003,             0.82219,             0.86122,             0.88463,             0.68838,            0.021081,            0.014244,          0.00068702,           0.0092971,           0.0092971,           0.0092971
                  73,            0.024146,            0.024176,            0.001666,             0.85683,             0.84371,             0.89208,             0.71076,            0.020776,            0.014181,          0.00085565,           0.0092872,           0.0092872,           0.0092872
                  74,            0.024584,            0.023929,           0.0016451,             0.85532,             0.84686,             0.89772,             0.71391,            0.020965,            0.014013,           0.0008168,           0.0092773,           0.0092773,           0.0092773
                  75,            0.024372,            0.023738,           0.0016142,              0.8422,             0.84895,             0.89366,             0.70634,            0.020904,            0.014076,          0.00080502,           0.0092674,           0.0092674,           0.0092674
                  76,            0.024577,            0.024031,           0.0016565,             0.85103,             0.85748,             0.89733,             0.71087,             0.02065,            0.014042,          0.00073241,           0.0092575,           0.0092575,           0.0092575
